OBJID,RA,DEC,XSIZE,YSIZE
SN2023mkt,229.561418623,-24.0867933248,10,10
SN2023dtc,128.32323,-22.9625088889,10,10
SN2023cv,228.3699532,-20.6810946,10,10
SN2021uha,149.592042,-25.160281,10,10
SN2021mwj,144.17412375,-21.14641625,10,10
SN2020fsb,234.765875,-25.974539,10,10
SN2019vsa,181.448414286,-27.9440721429,10,10
SN2013cg,141.73654,-24.783222,10,10
SN2005cn,199.50192,-26.80919,10,10
SN2004be,150.081125,-24.803833,10,10
SN1999gh,146.08229,-21.27361,10,10
SN1998bn,187.32867,-23.16367,10,10,
SN1998A,167.45971,-23.72864,10,10
SN1997br,200.17667,-22.03675,10,10
SN1996Z,144.18675,-21.14769,10,10
AT2021nzz,199.73579,-21.04392,10,10
SN2020ukx,138.085651111,-24.17207,10,10
AT2021ablz,35.749404,-21.237514,10,10
SN2006ce,35.7276,-21.2415,10,10
SN1994ai,35.77571,-21.23286,10,10
SN2023ysa,189.813333,-26.907719,10,10
SN2023xqm,158.645762,-27.650936,10,10
SN2022crv,148.607875,-25.703075,10,10
SN2022btu,193.560167,-24.43395,10,10
SN2018ld,106.1595,-23.59105,10,10
AT2017gfo,197.450371,-23.381486,10,10
SN2016gwl,140.8667,-23.1697,10,10
SN2016eiy,203.661,-23.6814,10,10
SN2006T,148.625875,-25.708139,10,10
SN1996X,199.50471,-26.84592,10,10